S,E,I,R,H
85242.3664,611.6218,459.6307,2552100.851973807,1421.0432
86316.3458,843.1973,498.7866,2561630.6848632954,1146.4061
87057.2262,1050.9232,619.7517,2571449.7766638584,1379.7012
87386.4772,1302.3836,767.3679,2581635.039302584,1706.2858
88070.2198,1059.3288,774.1301,2592109.3184683057,2021.4166
88248.6846,1428.9258,841.7446,2602450.640010616,1917.4707
88194.8253,1719.0461,1013.5494,2613000.211812959,2251.7286
87473.3635,2074.4597,1228.6361,2624155.9398164423,2744.6383
87357.1701,1624.7735,1196.4018,2635758.8202191484,3151.2322
87861.0847,1425.3038,874.2289,2646820.599206434,2460.7978
87533.8642,1675.3781,997.347,2657826.2008546633,2254.8015
86804.5608,1935.1709,1157.6835,2669203.2817983082,2620.539
85700.9372,2238.1788,1347.8349,2680889.8743980797,3074.3316
83704.1402,2638.8983,1605.6992,2693302.732760196,3709.2347
81147.5591,3000.8483,1849.9672,2706326.203954921,4348.0223
77988.7126,3296.7671,2067.1967,2720035.312672082,4967.0861
75932.7824,2264.7762,1786.6988,2734446.244598658,5310.6338
74485.9101,2168.8923,1403.8966,2747406.005905509,3928.9794
72365.7367,2296.445,1491.968,2760294.8980001435,3784.4115
70948.1411,2245.657,1472.7848,2772766.807595592,3780.1656
69775.4151,2129.4887,1407.995,2785021.7689370085,3658.1484
68940.3901,1947.4695,1296.8265,2797048.5793448305,3398.2892
68470.4756,1744.5917,1166.6393,2808660.107583216,3080.0305
69166.7842,1044.3848,856.4718,2819759.451039999,2644.2904
70877.0058,557.5986,463.7216,2829626.6131106876,1618.4475
73032.2937,304.5438,251.2643,2838581.2199555547,871.9821
75320.9892,170.5411,139.1395,2847107.8247934915,477.7343
77492.7663,167.6379,108.1717,2855445.8313683053,289.6025
79595.1696,162.0872,103.3355,2863776.340407597,257.5647
81620.366,161.8249,102.2322,2872032.377349426,251.9646
83779.8435,110.0386,83.3162,2880201.50722443,223.644
85860.4056,114.4516,71.2751,2888184.8210729724,180.1582
87870.9915,127.7739,78.6249,2896209.810921682,186.6487
89945.8894,126.2623,77.1077,2903962.058714163,181.2816
91932.5283,110.9053,81.7547,2911791.182809909,210.2042
94039.0379,85.6244,54.0626,2919336.871830187,159.5229
95889.8637,137.9103,82.5094,2926935.929826056,188.6544
97423.6379,248.9136,148.0321,2934594.7974948385,334.4221
98839.8748,360.4955,213.2243,2942252.058087924,478.2456
99668.1755,576.3988,340.187,2950217.8915589945,758.0523
100199.8173,833.0081,490.9434,2958247.2356678946,1092.935
100191.0005,1152.105,679.8977,2966651.807124571,1512.2363
100452.374,977.1391,719.4265,2975210.7272613905,1928.7347
100519.7664,1140.2202,679.9674,2983689.29778148,1743.2325
99336.9795,1607.3256,953.9122,2992530.820858686,2139.7638
97562.0425,2120.2862,1268.4817,3001878.0141363963,2867.8583
95200.3908,2604.659,1573.4432,3011598.0236598197,3605.5716
