"time","cases"
1950.13278576318,109
1950.1711156742,120
1950.20944558522,114
1950.24777549624,216
1950.28610540726,262
1950.32443531828,377
1950.3627652293,403
1950.40109514031,829
1950.43942505133,1091
1950.47775496235,1174
1950.51608487337,1275
1950.55441478439,1248
1950.59274469541,1244
1950.63107460643,836
1950.66940451745,515
1950.70773442847,308
1950.74606433949,418
1950.78439425051,592
1950.82272416153,837
1950.86105407255,1056
1950.89938398357,1593
1950.93771389459,2446
1950.97604380561,3090
1951.01437371663,4675
1951.05270362765,4610
1951.09103353867,4578
1951.12936344969,6107
1951.16769336071,7061
1951.20602327173,6637
1951.24435318275,4878
1951.28268309377,3693
1951.32101300479,2228
1951.35934291581,1752
1951.39767282683,1449
1951.43600273785,960
1951.47433264887,761
